episode,reward,epsilon,steps,loss
0,-306.6338522512718,0.9968333333333333,119,0.0
1,-203.87575685154476,0.9936772222222222,126,0.0
2,-68.8400989134386,0.9905316314814815,109,0.0
3,-108.32369508855041,0.9873965260432099,83,0.0
4,-114.86671922852096,0.9842718709563992,131,0.0
5,-172.0313002523347,0.9811576313865445,65,0.0
6,-147.50233326664198,0.9780537726152561,87,0.0
7,-108.23227524392998,0.9749602600398719,96,0.0
8,-253.39614651842516,0.9718770591730723,103,0.0
9,-117.22936328158539,0.9688041356424955,81,0.0
10,-66.1832069897415,0.9657414551903538,81,0.0
11,-73.08938089727802,0.9626889836730527,104,0.0
12,-121.06283979221351,0.9596466870608091,107,0.0
13,-77.33263724507664,0.9566145314372732,64,0.0
14,-210.84850058045637,0.9535924829991489,91,0.0
15,-305.9400186140049,0.9505805080558184,69,0.0
16,-372.1746311447229,0.9475785730289656,96,0.0
17,-289.38931933825734,0.9445866444522024,131,0.0
18,-156.2142410168234,0.941604688970695,96,0.0
19,-239.09130282945188,0.9386326733407927,90,0.0
20,-90.65930728561217,0.9356705644296567,74,0.0
21,-361.1917072571863,0.9327183292148912,94,0.0
22,-141.87033058792252,0.9297759347841749,108,0.0
23,-128.44162899259027,0.9268433483348942,111,0.0
24,-51.08697474595105,0.9239205371737779,76,0.0
25,-254.80200488930618,0.9210074687165319,135,0.0
26,-98.60021761050498,0.9181041104874769,71,0.0
27,-171.27928216175027,0.9152104301191852,74,0.0
28,-232.47754373482695,0.9123263953521212,107,0.0
29,-135.60180556749842,0.9094519740342808,92,0.0
30,-106.2367817974538,0.9065871341208332,81,0.0
31,-320.2435081143898,0.9037318436737638,121,0.0
32,-126.40599198187623,0.900886070861518,82,0.0
33,-392.44335312609286,0.8980497839586462,107,0.0
34,-244.1475313670678,0.8952229513454507,103,0.0
35,-100.18201787649032,0.8924055415076325,94,0.0
36,-102.98046036311878,0.8895975230359404,62,0.0
37,-320.6188793111106,0.8867988646258206,109,0.0
38,-68.60800627052484,0.8840095350770678,65,0.0
39,-101.86526928685717,0.8812295032934776,145,0.0
40,-63.471529756015485,0.8784587382824993,83,0.0
41,-268.68347554913817,0.875697209154891,96,0.0
42,-112.20597243340961,0.8729448851243747,90,0.0
43,-94.3260368511597,0.8702017355072935,85,0.0
44,-195.20909943777167,0.8674677297222692,99,0.0
45,-69.79540944159066,0.8647428372898616,110,0.0
46,-100.87208357052103,0.8620270278322287,83,0.0
47,-204.51478551254377,0.859320271072788,111,0.0
48,-98.63721568008656,0.8566225368358786,98,0.0
49,-109.10542914144429,0.8539337950464257,97,0.0
50,-112.57226617834263,0.8512540157296044,65,0.0
51,-256.9666529930022,0.8485831690105057,91,0.0
52,-165.73037600541193,0.845921225113804,78,0.0
53,-155.03426796808395,0.8432681543634246,118,0.0
54,-226.56426692917768,0.8406239271822132,102,0.0
55,-91.97432121866014,0.8379885140916059,145,0.0
56,-98.38612101265444,0.8353618857113005,75,0.0
57,-75.76805750223059,0.8327440127589295,98,0.0
58,-114.28491338082861,0.8301348660497331,63,0.0
59,-188.77326674671178,0.8275344164962339,87,0.0
60,-83.2184388579288,0.8249426351079132,69,0.0
61,-82.89756407857513,0.8223594929908868,117,0.0
62,-99.87406676834429,0.8197849613475839,78,0.0
63,-99.25009107784568,0.8172190114764253,77,0.0
64,-96.3705580753536,0.8146616147715039,103,0.0
65,-140.31818241625297,0.8121127427222655,85,0.0
66,-124.43742844700289,0.8095723669131913,156,0.0
67,-128.71558440238414,0.8070404590234808,110,0.0
68,-402.2088422977228,0.8045169908267358,82,0.0
69,-93.78242998863522,0.8020019341906467,133,0.0
70,-287.2304839451599,0.7994952610766779,80,0.0
71,-192.31468419609945,0.7969969435397556,84,0.0
72,-96.73140967306897,0.7945069537279564,143,0.0
73,-47.60916526831524,0.7920252638821966,123,0.0
74,-75.06477538733249,0.7895518463359227,103,0.0
75,-193.88328049329002,0.787086673514803,108,0.0
76,-172.77798128947262,0.7846297179364203,98,0.0
77,50.25674691858681,0.7821809522099656,500,0.0
78,-250.9887304545179,0.7797403490359324,76,0.0
79,-394.59879505271743,0.7773078812058126,89,0.0
80,-222.59609452885292,0.7748835216017933,106,0.0
81,-203.78740574522013,0.772467243196454,100,0.0
82,-250.15177886476687,0.7700590190524658,89,0.0
83,-61.48172511145072,0.7676588223222909,96,0.0
84,-262.31580287931035,0.7652666262478832,111,0.0
85,-289.48796452902354,0.7628824041603903,95,0.0
86,-392.9650085370266,0.7605061294798557,95,0.0
87,-203.90177909238128,0.7581377757149229,130,0.0
88,-79.16687273647511,0.7557773164625399,146,0.0
89,-281.61583338775074,0.7534247254076647,119,0.0
90,-112.31434715072966,0.7510799763229725,70,0.0
91,-181.35082997928504,0.7487430430685627,115,0.0
92,-70.44247712012222,0.7464138995916675,113,0.0
93,-298.6014681499019,0.7440925199263619,120,0.0
94,-368.4313643222229,0.741778878193274,119,0.0
95,-107.61129739273181,0.7394729485992965,96,0.0
96,-103.02238920219467,0.7371747054372988,145,0.0
97,-304.8850687325273,0.7348841230858412,194,4.5400543212890625
98,-459.67866485804177,0.7326011760088884,106,4.734457969665527
99,-380.50324485135013,0.7303258387555255,127,157.06219482421875
100,-188.81339145086255,0.7280580859596737,114,304.6967468261719
101,-253.5413805021355,0.7257978923398081,146,24.73640251159668
102,-478.5392229031903,0.7235452326986753,125,308.3637390136719
103,-231.13682168939692,0.7213000819230131,128,4.513952732086182
104,-235.75243769469233,0.7190624149832697,90,4.066567420959473
105,-337.3247910851975,0.7168322069333255,97,5.090078353881836
106,-263.2751712487619,0.7146094329102144,143,13.991592407226562
107,-417.1717259559592,0.712394068133847,149,6.128328323364258
108,-195.11580758570508,0.7101860879067342,129,6.194163799285889
109,-333.2565039368401,0.7079854676137117,196,5.354114055633545
110,-63.927204791385584,0.705792182721666,76,14.928491592407227
111,-208.36646393960794,0.7036062087792604,92,10.949061393737793
112,-148.78191357786693,0.7014275214166629,98,4.960779666900635
113,-60.56539860333458,0.699256096345274,73,8.415853500366211
