episode,reward,epsilon,steps,loss
0,-178.52766598735093,0.9968333333333333,61,0.0
1,-285.8467126271939,0.9936772222222222,122,0.0
2,-259.00134064852637,0.9905316314814815,103,0.0
3,-132.96365715677138,0.9873965260432099,103,0.0
4,-115.3977927150601,0.9842718709563992,83,0.0
5,-121.64199061552901,0.9811576313865445,85,0.0
6,-88.37188934055536,0.9780537726152561,63,0.0
7,-136.65987801496757,0.9749602600398719,72,0.0
8,-46.95800887477287,0.9718770591730723,62,0.0
9,-100.63938095892527,0.9688041356424955,96,0.0
10,-270.06135070604915,0.9657414551903538,123,0.0
11,-319.9028949211237,0.9626889836730527,122,0.0
12,-149.37826245292337,0.9596466870608091,71,0.0
13,-99.15785127675058,0.9566145314372732,81,0.0
14,-167.93555959936677,0.9535924829991489,76,0.0
15,-120.78354915230808,0.9505805080558184,120,0.0
16,-137.28041953744852,0.9475785730289656,78,0.0
17,-108.85176300549445,0.9445866444522024,77,0.0
18,-85.31910393789687,0.941604688970695,60,0.0
19,-151.03223496215315,0.9386326733407927,99,0.0
20,-188.49219672092076,0.9356705644296567,82,0.0
21,-111.83243302359472,0.9327183292148912,62,0.0
22,-172.89725960378263,0.9297759347841749,121,0.0
23,-164.47539924190392,0.9268433483348942,97,0.0
24,-379.4430372550096,0.9239205371737779,90,0.0
25,-215.07441837419177,0.9210074687165319,66,0.0
26,-247.49836015069238,0.9181041104874769,99,0.0
27,-193.9386762680508,0.9152104301191852,61,0.0
28,-279.2812734804944,0.9123263953521212,98,0.0
29,-179.540501888915,0.9094519740342808,99,0.0
30,-95.8871111351077,0.9065871341208332,60,0.0
31,-101.0524291176542,0.9037318436737638,75,0.0
32,-459.9853198551894,0.900886070861518,104,0.0
33,-92.98608960386828,0.8980497839586462,76,0.0
34,-217.1801364759396,0.8952229513454507,113,0.0
35,-150.47256672014348,0.8924055415076325,108,0.0
36,-123.34941326529852,0.8895975230359404,84,0.0
37,-397.91324779748084,0.8867988646258206,121,0.0
38,-271.0316235830654,0.8840095350770678,90,0.0
39,-329.40191553040114,0.8812295032934776,80,0.0
40,-397.4344894037152,0.8784587382824993,92,0.0
41,-337.41985922373055,0.875697209154891,91,0.0
