episode,reward,epsilon,steps,loss
0,-325.4888865387893,0.9968333333333333,82,0.0
1,-118.75209003253943,0.9936772222222222,71,0.0
2,-120.97994515930945,0.9905316314814815,121,0.0
3,-245.40822051113122,0.9873965260432099,114,0.0
4,-122.67907390450355,0.9842718709563992,97,0.0
5,-375.7587692326989,0.9811576313865445,89,0.0
6,-422.1613884888102,0.9780537726152561,111,0.0
7,-308.24446742511736,0.9749602600398719,69,0.0
8,-99.25405062605978,0.9718770591730723,77,0.0
9,-104.8258262418026,0.9688041356424955,63,0.0
10,-443.11150024380834,0.9657414551903538,75,0.0
11,-389.9456015933262,0.9626889836730527,101,0.0
12,-182.15856603199416,0.9596466870608091,95,0.0
13,-75.93941706725685,0.9566145314372732,83,0.0
14,-92.65375430868633,0.9535924829991489,96,0.0
15,-58.57657026406271,0.9505805080558184,74,0.0
16,-86.85142543190383,0.9475785730289656,96,0.0
17,-251.2935131420695,0.9445866444522024,83,0.0
18,-90.19579006642554,0.941604688970695,70,0.0
19,-262.05415000025357,0.9386326733407927,103,0.0
20,-63.39879937116825,0.9356705644296567,69,0.0
21,-52.16665453057238,0.9327183292148912,70,0.0
22,-68.56850842823931,0.9297759347841749,63,0.0
23,-215.60823950400925,0.9268433483348942,136,0.0
24,-220.93151921908162,0.9239205371737779,71,0.0
25,-432.0484317620815,0.9210074687165319,117,0.0
26,-163.5531141259313,0.9181041104874769,73,0.0
27,-128.7277017066586,0.9152104301191852,94,0.0
28,-344.09677337978843,0.9123263953521212,94,0.0
29,-308.9526035015987,0.9094519740342808,91,0.0
30,-221.40931014724788,0.9065871341208332,95,0.0
31,-262.4773844815403,0.9037318436737638,132,0.0
32,-356.45677588211566,0.900886070861518,109,0.0
33,-83.83082206615599,0.8980497839586462,75,0.0
34,-389.2232766210466,0.8952229513454507,103,0.0
35,-246.17300818120233,0.8924055415076325,75,0.0
36,-445.6730558791048,0.8895975230359404,106,0.0
37,-330.4519469022697,0.8867988646258206,100,0.0
38,-295.66563970484015,0.8840095350770678,73,0.0
39,-344.6792817396224,0.8812295032934776,94,0.0
40,-159.8297064895433,0.8784587382824993,116,0.0
41,-361.5775503807813,0.875697209154891,94,0.0
42,-350.9431018838818,0.8729448851243747,110,0.0
43,-349.99296070110097,0.8702017355072935,81,0.0
44,-93.57071633233704,0.8674677297222692,107,0.0
45,-194.65325857825474,0.8647428372898616,53,0.0
46,-202.97028206614922,0.8620270278322287,104,0.0
47,-338.106154115383,0.859320271072788,81,0.0
48,-410.8185683324863,0.8566225368358786,64,0.0
49,-260.7421916252257,0.8539337950464257,70,0.0
50,-27.10360449638742,0.8512540157296044,80,0.0
51,-477.9848029690502,0.8485831690105057,110,0.0
52,-346.8650098797673,0.845921225113804,65,0.0
53,-188.29559783760268,0.8432681543634246,98,0.0
54,-255.31855404824753,0.8406239271822132,102,0.0
55,-166.3022441494527,0.8379885140916059,66,0.0
56,-403.5551809738538,0.8353618857113005,94,0.0
57,-110.6350114509367,0.8327440127589295,123,0.0
58,-444.6235261406956,0.8301348660497331,100,0.0
59,-328.78641356024536,0.8275344164962339,113,0.0
60,-389.690074603054,0.8249426351079132,87,0.0
61,-219.0590887490235,0.8223594929908868,62,0.0
62,-233.91286844576416,0.8197849613475839,85,0.0
63,-339.55033908590184,0.8172190114764253,75,0.0
64,-237.91101136311144,0.8146616147715039,108,0.0
65,-285.63775146696554,0.8121127427222655,67,0.0
66,-417.4589781014323,0.8095723669131913,86,0.0
67,-111.91344305324505,0.8070404590234808,60,0.0
68,-126.75404390977118,0.8045169908267358,88,0.0
69,-115.47805469852415,0.8020019341906467,70,0.0
70,-232.43263558298435,0.7994952610766779,94,0.0
71,-169.02002809190705,0.7969969435397556,63,0.0
72,-341.9431466858481,0.7945069537279564,77,0.0
73,-372.44133841849015,0.7920252638821966,71,0.0
74,-180.31254699841554,0.7895518463359227,88,0.0
75,-621.5494018266402,0.787086673514803,113,0.0
76,-493.52274901129834,0.7846297179364203,88,0.0
77,-61.52809774792168,0.7821809522099656,100,0.0
78,-368.31917618668973,0.7797403490359324,86,0.0
79,-400.06109965106117,0.7773078812058126,95,0.0
80,-345.5106178103563,0.7748835216017933,65,0.0
81,-105.70443928897458,0.772467243196454,67,0.0
82,-262.9279581077765,0.7700590190524658,58,0.0
83,-146.02953688775344,0.7676588223222909,94,0.0
84,0.1640953490705357,0.7652666262478832,76,0.0
85,-249.7193429413257,0.7628824041603903,85,0.0
86,-265.3637890447234,0.7605061294798557,66,0.0
87,-436.0837511793381,0.7581377757149229,93,0.0
88,-175.32621648838602,0.7557773164625399,66,0.0
89,27.826281038767803,0.7534247254076647,88,0.0
90,-562.139468530797,0.7510799763229725,99,0.0
91,-483.08512892117875,0.7487430430685627,101,0.0
92,-124.29072325897133,0.7464138995916675,69,0.0
93,-393.5187194427219,0.7440925199263619,79,0.0
94,-338.0829320533908,0.741778878193274,67,0.0
95,-427.6178619853085,0.7394729485992965,66,0.0
96,-121.74098031767997,0.7371747054372988,81,0.0
97,-303.20742198571816,0.7348841230858412,68,0.0
98,-106.48252775076952,0.7326011760088884,57,0.0
99,-79.24930572406097,0.7303258387555255,63,0.0
100,-218.77936272982978,0.7280580859596737,70,0.0
101,-263.71905362634413,0.7257978923398081,85,0.0
102,-82.57762569529115,0.7235452326986753,65,0.0
103,-582.454820498191,0.7213000819230131,85,0.0
104,-208.56251890469255,0.7190624149832697,105,0.0
105,-440.4424737160345,0.7168322069333255,80,0.0
106,6.014496138191731,0.7146094329102144,86,0.0
107,-254.50627193743648,0.712394068133847,74,0.0
108,-283.26500126754115,0.7101860879067342,96,0.0
109,-371.6153514785895,0.7079854676137117,100,0.0
110,-323.67321305676626,0.705792182721666,62,0.0
111,-540.5830043896754,0.7036062087792604,107,0.0
