episode,reward,epsilon,steps,loss
0,-277.8242506714202,0.9968333333333333,127,0.0
1,-177.33390585390114,0.9936772222222222,59,0.0
2,-52.04276080828217,0.9905316314814815,106,0.0
3,-250.34705292202204,0.9873965260432099,123,0.0
4,-71.66331152723755,0.9842718709563992,122,0.0
5,-273.57491991618724,0.9811576313865445,57,0.0
6,-231.57757063756463,0.9780537726152561,108,0.0
7,19.23672662371672,0.9749602600398719,126,0.0
8,-51.18660587252123,0.9718770591730723,68,0.0
9,-148.1459374926304,0.9688041356424955,78,0.0
10,-111.17556488096997,0.9657414551903538,63,0.0
11,-100.88374207814547,0.9626889836730527,62,0.0
12,-314.3965271431663,0.9596466870608091,86,0.0
13,-111.18461509093483,0.9566145314372732,84,0.0
14,-278.5549848246587,0.9535924829991489,62,0.0
15,-43.72869681357402,0.9505805080558184,116,0.0
16,-135.0466193049572,0.9475785730289656,77,0.0
17,-99.51794791120062,0.9445866444522024,95,0.0
18,-226.62441377252142,0.941604688970695,66,0.0
19,-188.5138816390815,0.9386326733407927,96,0.0
20,-246.56580878387405,0.9356705644296567,86,0.0
21,-90.43584920714291,0.9327183292148912,56,0.0
22,-270.69057659345776,0.9297759347841749,74,0.0
23,-353.1321229183542,0.9268433483348942,106,0.0
24,-262.93486758969755,0.9239205371737779,94,0.0
25,-149.24145700460042,0.9210074687165319,63,0.0
26,-379.9034533296802,0.9181041104874769,87,0.0
27,-285.24295692087594,0.9152104301191852,74,0.0
28,-69.99454279685352,0.9123263953521212,63,0.0
29,8.407610051666524,0.9094519740342808,126,0.0
30,-429.60132764054026,0.9065871341208332,91,0.0
31,-112.66372690764739,0.9037318436737638,93,0.0
32,-139.2393373109156,0.900886070861518,76,0.0
33,-136.01994178353073,0.8980497839586462,87,0.0
34,-107.79487640900416,0.8952229513454507,124,0.0
35,-106.39979413584659,0.8924055415076325,66,0.0
36,-200.58701553195874,0.8895975230359404,111,0.0
37,-210.14214784446128,0.8867988646258206,99,0.0
38,-492.11888025172664,0.8840095350770678,103,0.0
39,-153.16099187505966,0.8812295032934776,77,0.0
40,-102.99543899911247,0.8784587382824993,66,0.0
41,-217.21903274785132,0.875697209154891,74,0.0
42,-277.1428484407513,0.8729448851243747,82,0.0
43,-162.48699585792554,0.8702017355072935,59,0.0
44,-187.6146914191999,0.8674677297222692,60,0.0
45,-238.3907379077555,0.8647428372898616,77,0.0
46,-79.12052649127126,0.8620270278322287,61,0.0
47,-109.32353897333132,0.859320271072788,62,0.0
48,-98.7823121703237,0.8566225368358786,59,0.0
49,-90.42421540342815,0.8539337950464257,80,0.0
50,-544.3303267849942,0.8512540157296044,96,0.0
51,-149.6683327035723,0.8485831690105057,117,0.0
52,-483.77416606303865,0.845921225113804,82,0.0
53,-175.32866240105366,0.8432681543634246,84,0.0
54,-239.52955718833363,0.8406239271822132,103,0.0
55,-49.48885067599052,0.8379885140916059,124,0.0
56,-250.85568074424725,0.8353618857113005,68,0.0
57,-115.23164615628515,0.8327440127589295,71,0.0
58,-100.3211380047565,0.8301348660497331,83,0.0
59,-151.48533611603375,0.8275344164962339,83,0.0
60,-212.28515018255263,0.8249426351079132,83,0.0
61,-344.4689777965591,0.8223594929908868,105,0.0
62,-137.06999538638925,0.8197849613475839,68,0.0
63,-302.00739511075653,0.8172190114764253,123,0.0
64,-353.4758733047297,0.8146616147715039,69,0.0
65,-434.92653361407264,0.8121127427222655,76,0.0
66,-470.68970381364204,0.8095723669131913,91,0.0
67,-35.6693943809034,0.8070404590234808,86,0.0
68,-108.28377899213537,0.8045169908267358,62,0.0
69,-91.15810105748204,0.8020019341906467,59,0.0
70,-116.39402789415597,0.7994952610766779,74,0.0
71,-515.4216060217212,0.7969969435397556,91,0.0
72,-135.34885796004426,0.7945069537279564,65,0.0
73,-161.1573860158999,0.7920252638821966,113,0.0
74,-222.62706357941784,0.7895518463359227,94,0.0
75,-224.1795052785406,0.787086673514803,66,0.0
76,-240.38033067925667,0.7846297179364203,73,0.0
77,-489.34619593462673,0.7821809522099656,88,0.0
78,-454.96127612912017,0.7797403490359324,93,0.0
79,-369.6306283798854,0.7773078812058126,87,0.0
80,-65.77388862212645,0.7748835216017933,81,0.0
81,-363.2779159617067,0.772467243196454,73,0.0
82,-342.93939590331115,0.7700590190524658,86,0.0
83,-648.6880436370393,0.7676588223222909,93,0.0
84,-193.3606061113371,0.7652666262478832,77,0.0
85,-151.47619774930268,0.7628824041603903,112,0.0
86,-203.3880210502602,0.7605061294798557,68,0.0
87,-141.39628588769693,0.7581377757149229,55,0.0
88,-129.03958786622,0.7557773164625399,87,0.0
89,-285.0491781969901,0.7534247254076647,53,0.0
90,-152.06040469095325,0.7510799763229725,65,0.0
91,-381.7041465471298,0.7487430430685627,80,0.0
92,-77.16101945489923,0.7464138995916675,75,0.0
