episode,reward,epsilon,steps,loss
0,-131.03998787976718,0.9968333333333333,87,0.0
1,-204.31916709077288,0.9936772222222222,102,0.0
2,-105.96797888357388,0.9905316314814815,106,0.0
3,-73.68189765451822,0.9873965260432099,73,0.0
4,-231.294504286261,0.9842718709563992,79,0.0
5,-55.10572175857358,0.9811576313865445,87,0.0
6,-143.7830523440409,0.9780537726152561,108,0.0
7,-253.7222150750637,0.9749602600398719,111,0.0
8,-409.8172989107405,0.9718770591730723,94,0.0
9,-367.1346929924019,0.9688041356424955,129,0.0
10,-451.51354874502164,0.9657414551903538,83,0.0
11,-136.57190253977566,0.9626889836730527,88,0.0
12,-185.44272104925636,0.9596466870608091,107,0.0
13,-163.02535387852197,0.9566145314372732,68,0.0
14,-360.0905069658129,0.9535924829991489,93,0.0
15,-327.9925341292284,0.9505805080558184,116,0.0
16,-113.7220923596357,0.9475785730289656,96,0.0
17,-427.834369025847,0.9445866444522024,131,0.0
18,-133.2730727030605,0.941604688970695,98,0.0
19,-566.5295179306145,0.9386326733407927,118,0.0
20,-187.81384689654135,0.9356705644296567,68,0.0
21,-296.6520535214299,0.9327183292148912,107,0.0
22,-392.6326907380865,0.9297759347841749,107,0.0
23,-166.7468648684419,0.9268433483348942,106,0.0
24,-372.37818947173685,0.9239205371737779,96,0.0
25,-226.1820160256534,0.9210074687165319,67,0.0
26,-73.7394597273899,0.9181041104874769,63,0.0
27,-216.67606248787496,0.9152104301191852,85,0.0
28,-116.8844931238647,0.9123263953521212,118,0.0
29,-417.53739318857373,0.9094519740342808,96,0.0
30,-509.66954893846076,0.9065871341208332,101,0.0
31,-118.91052367051762,0.9037318436737638,63,0.0
32,-386.34016946570273,0.900886070861518,96,0.0
33,-224.13510465141,0.8980497839586462,100,0.0
34,-428.0963442865451,0.8952229513454507,110,0.0
35,-442.9690250930233,0.8924055415076325,101,0.0
36,117.20865451817681,0.8895975230359404,500,0.0
37,-383.8104617080678,0.8867988646258206,110,0.0
38,-343.388462110045,0.8840095350770678,83,0.0
39,-466.8238488328373,0.8812295032934776,77,0.0
40,-505.784119218163,0.8784587382824993,86,0.0
41,-360.87902446261853,0.875697209154891,85,0.0
42,-317.06847519820997,0.8729448851243747,98,0.0
43,-323.464363509501,0.8702017355072935,75,0.0
44,-77.40261546852386,0.8674677297222692,61,0.0
45,-291.06393133753136,0.8647428372898616,68,0.0
46,-85.57857748659772,0.8620270278322287,60,0.0
47,-262.72396255241665,0.859320271072788,86,0.0
48,-100.97927427613612,0.8566225368358786,92,0.0
49,-230.5699614489845,0.8539337950464257,66,0.0
50,-165.49140921956914,0.8512540157296044,97,0.0
